Mapped at 0x7fab9b55f000 (0x4e3f68)
Index	S	r	M	M
1070	245	203	54	51
1071	245	61	255	230
1072	245	61	255	230
1073	261	61	242	243
1074	48	51	242	227
1075	64	255	218	230
1076	215	64	258	230
1077	255	64	239	243
1078	245	64	509	48
1079	61	255	245	230
1080	51	64	255	230
1081	242	64	252	224
1082	1054	64	255	51
1083	258	51	245	243
1084	48	245	252	221
1085	245	51	255	221
1086	242	64	252	230
1087	258	51	242	243
1088	122	51	245	243
1089	61	258	242	243
1090	242	61	252	233
1091	255	48	255	230
1092	255	64	245	64
1093	245	246	54	242
1094	255	51	245	64
1095	218	61	230	243
1096	258	51	242	243
1097	258	48	582	243
1098	61	258	239	240
1099	245	61	255	230
1100	258	51	245	243
1101	242	64	230	230
1102	245	51	64	64
1103	242	243	51	172
1104	258	64	245	218
1105	245	61	255	230
1106	255	61	218	243
1107	242	51	239	230
1108	64	245	245	227
1109	255	64	242	227
1110	245	64	255	230
1111	231	51	242	243
1112	64	64	255	218
1113	51	48	245	230
1114	218	61	224	243
1115	242	61	255	221
1116	255	51	654	64
1117	48	218	230	240
1118	48	51	242	243
1119	1197	64	255	230
1120	255	48	242	243
1121	255	64	242	64
1122	51	242	255	230
1123	258	48	215	221
1124	245	51	255	227
1125	258	61	251	51
1126	233	243	54	218
1127	245	243	67	51
1128	245	61	255	230
1129	245	61	258	221
1130	242	64	258	230
1131	64	64	242	243
1132	51	242	258	218
1133	218	61	255	227
1134	255	64	239	227
1135	245	64	164	64
1136	255	230	67	258
1137	194	61	245	51
1138	255	64	242	246
1139	245	61	255	230
1140	242	64	258	230
1141	48	242	231	233
1142	242	61	255	218
1143	255	51	242	230
1144	255	64	245	51
1145	379	51	242	243
1146	61	255	245	243
1147	242	64	258	218
1148	258	48	242	227
1149	245	61	255	230
1150	64	258	245	240
1151	51	51	255	230
1152	221	61	255	230
1153	245	64	255	230
1154	258	51	242	64
1155	245	243	51	242
1156	218	64	255	51
1157	242	61	258	230
1158	248	61	255	230
1159	258	61	242	243
1160	64	242	245	230
1161	51	51	228	233
1162	242	64	252	230
1163	258	48	242	243
1164	433	64	234	227
1165	51	258	242	230
1166	218	61	255	230
1167	258	48	242	237
1168	245	61	164	64
1169	218	230	67	255
1170	227	64	252	51
1171	255	61	242	227
1172	218	64	245	243
1173	258	51	242	594
1174	51	245	255	227
1175	64	64	215	243
1176	242	61	258	227
1177	258	51	242	230
1178	218	51	242	64
1179	48	258	258	221
1180	242	61	255	230
1181	224	51	255	230
1182	242	64	255	230
1183	61	64	242	243
1184	51	152	221	233
1185	261	48	242	230
1186	255	64	242	243
1187	245	64	228	51
1188	255	230	67	255
1189	197	51	242	64
1190	245	61	215	240
1191	245	64	255	230
1192	258	64	242	1346
1193	64	118	218	230
1194	258	61	242	230
1195	242	64	258	230
1196	242	61	164	51
1197	242	230	67	245
1198	236	64	242	64
1199	242	61	255	227
1200	258	51	245	243
1201	242	64	258	230
1202	61	415	255	221
1203	48	51	242	243
1204	258	51	239	227
1205	245	61	255	230
1206	255	51	245	240
1207	51	255	242	230
1208	255	48	242	243
1209	242	64	218	243
1210	255	51	239	230
1211	258	64	100	64
1212	258	230	64	255
1213	245	61	255	230
1214	255	51	242	230
1215	255	61	242	243
1216	76	64	255	227
1217	64	255	258	227
1218	255	51	242	243
1219	245	61	242	230
1220	242	64	164	61
1221	258	448	51	252
1222	261	51	255	61
1223	258	51	242	240
1224	245	61	255	230
1225	258	48	242	243
1226	48	245	255	230
1227	61	64	255	230
1228	245	61	228	227
1229	258	48	869	234
1230	242	61	255	51
1231	245	243	54	245
1232	194	51	245	64
1233	258	51	242	243
1234	258	61	218	243
1235	258	61	242	233
1236	51	258	255	230
1237	255	51	218	230
1238	248	61	255	230
1239	218	64	255	230
1240	242	64	252	64
1241	242	243	54	242
1242	231	51	255	64
1243	242	51	258	218
1244	255	64	242	233
1245	218	64	255	227
1246	64	255	242	243
1247	255	48	228	227
1248	255	64	242	243
1249	242	61	243	51
1250	255	230	67	255
1251	245	61	242	51
1252	255	51	242	240
1253	245	64	255	224
1254	245	61	255	221
1255	48	258	255	218
1256	64	48	242	243
1257	215	51	245	243
1258	242	61	242	221
1259	242	64	303	64
1260	255	224	64	255
1261	242	64	258	51
1262	258	51	239	227
1263	258	61	215	227
1264	258	48	848	240
1265	64	255	242	243
1266	255	51	215	218
1267	242	61	258	230
1268	245	61	243	48
1269	258	230	64	215
1270	245	64	255	51
1271	245	61	242	230
1272	218	61	242	233
1273	255	61	242	234
1274	51	245	255	233
1275	61	64	255	230
1276	230	61	255	221
1277	245	51	258	230
1278	242	64	343	64
1279	258	230	64	252
1280	245	64	255	48
1281	255	51	218	230
1282	245	61	255	230
1283	258	61	245	243
1284	48	242	215	230
1285	245	61	255	221
1286	242	64	258	230
1287	255	48	227	230
1288	64	258	245	243
1289	48	51	242	243
1290	255	64	242	221
1291	245	61	255	227
1292	245	61	258	51
1293	64	215	255	230
1294	242	64	255	215
1295	224	64	255	230
1296	218	48	242	243
1297	170	61	539	231
1298	51	255	242	230
1299	242	64	258	64
1300	242	51	245	230
1301	245	61	867	230
1302	64	255	215	230
1303	51	64	252	230
1304	258	48	242	221
1305	245	61	255	227
1306	255	51	242	243
1307	51	242	255	230
1308	258	51	245	218
1309	245	61	242	230
1310	245	48	255	64
1311	245	243	51	215
1312	197	48	242	64
1313	242	64	255	230
1314	221	48	245	246
1315	245	61	255	230
1316	51	245	591	243
1317	61	64	258	230
1318	245	61	255	230
1319	258	48	242	240
1320	255	51	242	230
1321	64	255	242	243
1322	242	64	237	230
1323	242	64	255	221
1324	245	61	255	51
1325	64	258	215	230
1326	51	48	242	243
1327	237	51	242	240
1328	245	61	255	227
1329	255	64	242	64
1330	51	218	239	230
1331	51	51	242	243
1332	255	51	245	246
1333	221	61	221	243
1334	245	64	255	48
1335	64	245	679	243
1336	245	61	255	230
1337	255	48	239	230
1338	412	51	242	88
1339	255	48	54	255
1340	255	233	51	64
1341	258	48	242	243
1342	258	51	230	218
1343	242	61	252	233
1344	48	64	255	230
